name,item_num,rating,price
Hydro Flask Wide-Mouth Vacuum Water Bottle with Flex Cap - 32 fl. oz.,Item #207804,1.0, $32.73
NEMO Tensor Ultralight Insulated Sleeping Pad,Item #199935,3.6, $99.83
Eureka SPRK Camp Stove,Item #187621,4.4, $33.49
JBL Clip 4 Eco Speaker,Item #227754,4.2, $49.99
Eureka Ignite 2-Burner Camp Stove,Item #149913,4.5, $87.39
REI Co-op Trailgate Vehicle Shelter,Item #193121,3.5, $73.83
REI Co-op Outward Hammock,Item #217992,4.6, $98.83
NEMO Tensor Ultralight Sleeping Pad,Item #199934,3.8, $89.83
GSI Outdoors Halulite Minimalist II System Cookset,Item #147772,4.4, $25.93
Sea to Summit X-Brew Coffee Dripper,Item #230609,4.0, $13.73
Eureka SPRK+ Butane Camp Stove,Item #179537,4.5, $45.39
Eureka NoBugZone 3-in-1 Shelter,Item #189402,2.8, $230.93
Sea to Summit Thermolite Reactor Extreme Sleeping Bag Liner,Item #797114,4.4, $55.93
Mountain Summit Gear 4-Person Enamel Tableware Set,Item #141510,3.0, $37.73
REI Co-op Quickflow Pump Sack,Item #148117,4.3, $6.83
Solo Stove Bonfire Fire Pit with Stand 2.0,Item #234098,0.0, $239.99
Shokz OpenRun Pro Headphones,Item #211114,4.6, $139.99
Goal Zero Yeti 500X Portable Power Station,Item #180610,3.8, $399.89
Eureka Ignite Plus 2-Burner Camp Stove,Item #149914,4.5, $111.89
Solo Stove Mesa XL Fire Pit,Item #234099,5.0, $89.99
ZOLEO Satellite Communicator,Item #194833,3.8, $149.99
YETI Rambler Vacuum Pint Glass with MagSlider Lid,Item #233808,4.8, $22.49
Insta360 X3,Item #221200,4.2, $404.99
Goal Zero Yeti 200X Portable Power Station,Item #170008,4.0, $174.89
Shokz OpenRun Headphones,Item #211113,4.2, $99.99
REI Co-op Trailsmith Gloves,Item #158399,4.7, $23.89
JBL Charge 5 Portable Speaker,Item #198733,4.3, $129.99
Eureka Space Camp 4-Person Tent,Item #187692,4.4, $279.89
JBL Flip 6 Speaker,Item #225359,4.4, $99.99
Eureka Copper Canyon LX 6-Person Tent,Item #187693,3.7, $230.89
Eureka Copper Canyon LX 4-Person Tent,Item #187691,4.1, $188.89
Eureka SPRK Camp Grill,Item #179538,4.4, $97.89
SPOT X with Bluetooth,Item #172306,2.6, $199.89
Eureka Copper Canyon LX 8-Person Tent,Item #189399,3.5, $349.89
JBL Live 660NC Wireless Over-Ear Noise-Canceling Headphones,Item #205070,3.9, $99.99
Shokz OpenMove Headphones,Item #189217,3.8, $64.99
JBL Tune Flex Earbuds,Item #225821,3.7, $59.99
Shokz OpenRun Mini Headphones,Item #216303,4.4, $99.99
JBL Boombox 3 Speaker,Item #225358,4.5, $399.99
Eureka Space Camp 6-Person Tent,Item #187694,4.0, $349.89
Insta360 Flow,Item #232998,0.0, $139.99
Eureka Griddle,Item #203863,4.6, $34.89
Insta360 ONE RS - Twin Edition,Item #221199,4.0, $411.99
Insta360 GO 3,Item #230575,4.2, $379.99
JBL Vibe Buds True Wireless Earbuds,Item #230653,4.0, $34.99
JBL Pulse 5 Speaker,Item #230654,4.6, $199.99
JBL Xtreme 3 Portable Waterproof Speaker,Item #208306,4.2, $249.99
JBL Endurance Race TWS Active Spot Earbuds,Item #213905,3.9, $59.99
